EXTRELNO,NAME1TITLE,POSTCODE,LANGUACODE
0003266,HM,8890,NL
0003271,HR,1332,FR
0003272,MW,2060,NL
0003285,HM,2940,NL
0003295,MW,1180,FR
0003298,MW,8310,NL
0003310,MW,1300,FR
0003319,FA,2100,NL
0003322,HM,2340,NL
0003326,HM,8740,NL
0003330,FA,2630,NL
0003339,HR,3110,NL
0003350,,9240,NL
0003359,,3900,NL
0003361,HR,2243,NL
0003366,HR,3580,NL
0003383,HR,3740,NL
0003387,HR,9200,NL
0003392,HR,9090,NL
0003394,HR,9900,NL
0003395,MW,3511,NL
0003405,HR,9900,NL
0003407,MW,3090,NL
0003409,MW,9290,NL
0003414,HR,2340,NL
0003417,MW,9992,NL
0003418,MW,9840,NL
0003435,JU,1860,NL
0003440,MW,3600,NL
0003448,HR,3740,NL
0003453,HM,2940,NL
0003454,HR,8531,NL
0003457,HR,2490,NL
0003465,HM,2630,NL
0003472,HM,8510,NL
0003475,MW,2180,NL
0003481,MW,9290,NL
0003483,HR,2275,NL
0003488,MW,2640,NL
0003489,FA,8310,NL
0003495,MW,9100,NL
0003497,MW,9100,NL
0003502,HR,2018,NL
0003514,HR,9050,NL
0003521,HR,9160,NL
0003530,MW,9230,NL
0003535,FA,2180,NL
0003543,MW,9940,NL
0003546,MW,9031,NL
0003555,MW,9100,NL
0003557,HM,2250,NL
0003560,MW,2550,NL
0003566,HM,8300,NL
0003577,,2580,NL
0003592,MW,2020,NL
0003604,HR,1200,FR
0003611,FA,9450,NL
0003612,HM,1740,NL
0003619,FA,9030,NL
0003624,HR,8560,NL
0003627,HR,1150,FR
0003630,MW,9550,NL
0003653,HM,1060,FR
0003659,MW,8310,NL
0003669,MW,1020,FR
0003672,HR,2235,NL
0003673,HM,2547,NL
0003683,HR,9800,NL
0003685,HR,9450,NL
0003687,MW,1325,FR
0003688,HR,1200,NL
0003689,MW,9968,NL
0003694,FA,5340,FR
0003707,HR,9880,NL
0003712,HR,3798,NL
0003714,MW,2880,NL
0003746,FA,1741,NL
0003752,MW,8000,NL
0003759,HR,3500,NL
0003767,HM,2960,NL
0003774,HR,2600,NL
0003775,HR,9200,NL
0003780,MW,3440,NL
0003782,FA,1860,NL
0003791,MW,2650,NL
0003792,HM,9120,NL
0003797,HR,3000,NL
0003801,HM,3700,NL
0003807,,1050,NL
0003824,HM,8500,NL
0003828,HR,1860,NL
0003833,HM,2610,NL
0003834,HR,2640,NL
0003835,HR,3010,NL
0003837,MW,2900,NL
0003843,HR,9120,NL
0003850,MW,1180,FR
0003858,HR,9280,NL
0003865,HR,,NL
0003870,HM,9450,NL
0003875,HM,8200,NL
0003876,MW,9308,NL
0003878,JU,2300,NL
0003879,HR,3580,NL
0003892,MW,2550,NL
0003904,HR,2950,NL
0003909,HM,3000,NL
0003911,HM,8000,NL
0003917,MW,9000,NL
0003918,HR,9890,NL
0003927,MW,9450,NL
0003931,HM,3191,NL
0003934,HR,8200,NL
0003938,,2018,NL
0003942,MW,9820,NL
0003946,HM,2990,NL
0003949,HM,1933,NL
