EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
27512,FP,2005-04-28,2014-10-12
27512,CT,2011-02-17,NaT
27515,FP,2005-05-29,NaT
27518,FP,2005-05-29,NaT
27523,FP,2005-05-29,NaT
27526,FP,2005-05-29,NaT
27529,FP,2005-05-29,2017-01-23
27530,FP,2005-05-29,2019-04-18
27531,FP,2005-05-29,2009-10-25
27542,FP,2005-05-29,NaT
27544,FP,2005-05-29,2014-03-04
27545,FP,2005-05-29,NaT
27545,CT,2016-08-29,NaT
27554,FP,2005-05-29,NaT
27560,FP,2005-05-29,2011-09-05
27560,CT,2011-09-05,NaT
27562,FP,2005-05-29,2017-04-11
27570,FP,2005-05-29,NaT
27571,FP,2005-05-29,NaT
27571,CT,2010-11-29,NaT
27572,FP,2005-05-29,NaT
27579,FP,2005-05-29,NaT
27579,CT,2015-03-19,NaT
27581,FP,2005-05-29,2013-12-24
27593,FP,2005-05-29,NaT
27593,CT,2008-01-30,NaT
27602,FP,2005-05-29,NaT
27602,CT,2012-01-03,NaT
27606,FP,2005-05-29,NaT
27607,FP,2005-05-29,2006-01-28
27608,FP,2005-05-29,NaT
27614,FP,2005-05-29,NaT
27635,FP,2005-05-29,NaT
27646,FP,2005-05-29,2015-07-01
27649,FP,2005-05-29,NaT
27652,FP,2005-05-29,NaT
27653,FP,2005-05-29,NaT
27653,CT,2008-01-30,NaT
27659,FP,2005-05-29,2015-04-20
27660,FP,2005-05-29,2011-12-25
27668,FP,2005-05-29,NaT
27671,CT,2005-05-29,NaT
27671,FP,2005-05-29,NaT
27675,FP,2005-05-29,2009-02-23
27675,FP,2009-02-26,2010-05-02
27679,FP,2005-05-29,2009-09-15
27681,FP,2005-05-29,NaT
27683,FP,2005-05-29,2008-02-14
27684,FP,2005-05-29,NaT
27686,FP,2005-05-29,2011-11-24
27687,FP,2005-05-29,NaT
27690,FP,2005-05-29,NaT
27690,CT,2016-02-23,NaT
27700,FP,2005-05-29,2017-02-08
27701,FP,2005-05-29,NaT
27703,FP,2005-05-29,2013-01-09
