,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
3305,3305,932392.0,34957,4132,1,2526,66544.0,87804.0,31277.2,38338.0,125615.8,33798.0,549015.0,1,1,315.0,1.0,2.74748987763756,0.014041790990486,30.0,95.0,19718460.0,0.219973895582329,0,1
3309,3309,7440.0,212,105,14,2536,2388.0,1372.0,912.0,736.0,172.0,1824.0,36.0,0,0,163.461118960101,0.557729880124527,0.6996077356683891,-0.384017039703146,3.0,83.0,141600.0,0.0229126213592233,0,0
3310,3310,135958.4,7199,951,13,2529,13852.0,55320.0,15286.0,6582.0,20096.4,10394.0,14428.0,3,1,56.0,0.333333333333333,0.0,-1.0,11.0,81.0,2825231.9999999995,0.0191100649350649,0,1
3313,3313,135882.4,7229,875,1,2547,40406.0,12848.0,18138.4,700.0,414.0,44630.0,18746.0,5,1,101.0,0.4,0.5,-0.25,15.0,90.0,2544552.0,0.0859355623100304,0,1
3314,3314,1638.0,88,40,22,2542,654.0,184.0,280.0,0.0,248.0,272.0,0.0,1,1,471.0,1.0,0.0,-1.0,3.0,83.0,35040.0,0.0080551724137931,1,0
3325,3325,65100.0,940,115,48,2540,7770.0,525.0,5880.0,19580.0,7865.0,23480.0,0.0,13,1,79.0,0.923076923076923,0.0833333333333333,-0.166666666666667,203.0,91.0,1154250.0,0.0360918715053949,0,1
3333,3333,54439.0,1101,424,9,2507,9577.0,8943.0,2621.0,14293.0,6794.0,6741.0,5470.0,13,1,48.0,0.923076923076923,0.1,-0.7,50.0,96.0,1124160.0,0.0204207084468665,0,1
3338,3338,1577.8,154,30,31,2527,476.0,90.0,140.0,51.0,364.8,456.0,0.0,1,1,122.0,1.0,0.0,0.0,3.0,88.0,35976.0,0.0118232909681563,0,0
3341,3341,14365.0,153,86,13,2491,4830.0,5565.0,0.0,1100.0,550.0,2320.0,0.0,1,1,59.0,1.0,0.0,-1.0,12.0,91.0,261300.0,0.0159816513761468,0,0
3343,3343,1824.6,91,23,3,2514,589.0,996.0,0.0,0.0,41.6,198.0,0.0,0,0,192.935391290004,0.518375087259346,0.5729727283766851,-0.8020579546344558,3.0,80.0,54737.99999999999,0.0014620192307692,1,0
3346,3346,1350.0,31,24,22,2495,481.0,210.0,0.0,55.0,100.0,504.0,0.0,0,0,183.954541452916,0.550745355784157,0.519183191964173,-0.913289542480404,6.0,86.0,35100.0,0.0042545454545454,0,0
3356,3356,2295.0,41,19,38,2499,580.0,475.0,0.0,55.0,1080.0,105.0,0.0,0,0,209.40037578325692,0.451104102035401,0.9451619170696828,-0.7411547145857992,10.0,92.0,49500.0,0.0027871621621621,0,0
3361,3361,7115.0,384,52,44,2508,1531.0,3730.0,0.0,284.4,1460.4,0.0,109.2,0,0,188.77852635671903,0.523524900296288,0.718241723808646,-0.570868066061079,6.0,83.0,141030.0,0.0064425021713093,1,0
3371,3371,3212.4,91,54,1,2513,123.0,34.0,100.4,270.0,200.0,1519.0,966.0,1,1,119.0,0.0,0.0,-7.0,3.0,85.0,65952.0,0.0106718446601942,0,0
3382,3382,8282.0,142,116,6,2492,1858.0,1228.0,1087.0,1045.0,2115.0,423.0,526.0,4,1,155.0,0.5,1.0,0.0,20.0,91.0,144990.0,0.0058369565217391,0,0
3392,3392,10793.35,324,281,6,2513,2465.3,2030.35,1232.95,895.9,495.0,2013.85,1660.0,0,0,179.163457362167,0.397153890812942,0.445892732645426,-0.96757462763274,3.0,83.0,220776.0,0.013429197080292,0,0
3393,3393,5234.0,344,190,20,2508,2237.4,272.0,665.4,788.0,354.0,752.2,165.0,9,1,22.0,0.666666666666667,1.14285714285714,-0.4285714285714289,6.0,83.0,53790.0,0.0061615120274914,1,0
3404,3404,7638.0,653,277,22,2492,3366.0,1456.0,90.0,982.0,122.0,1580.0,42.0,4,1,143.0,0.0,0.75,0.0,8.0,90.0,149880.0,0.0153251533742331,0,0
3420,3420,6564.4,279,117,2,2480,2006.0,1973.0,120.4,256.0,455.0,910.0,844.0,1,1,512.0,0.0,1.0,-1.0,5.0,88.0,138462.0,0.0200669565217391,0,0
3431,3431,49913.8,1190,583,20,2472,12107.0,5043.0,2639.0,16734.0,2344.0,7452.0,3594.8,5,1,24.0,0.8,0.0,-1.0,69.0,91.0,1040664.0,0.0189725670282929,0,1
3433,3433,5693.0,330,52,22,2472,34.0,17.0,0.0,3006.0,2602.0,34.0,0.0,1,1,296.0,1.0,0.765790977607077,-0.353139993340342,135.0,100.0,92580.0,0.0076167238732674,1,0
3436,3436,7224.0,377,50,58,2473,1310.0,2023.0,610.0,1635.0,588.0,350.0,708.0,2,1,322.0,0.5,1.0,0.0,3.0,81.0,124920.0,0.0170655737704918,1,0
3437,3437,22489.2,1326,591,3,2467,6200.0,4248.0,876.0,4464.0,1291.2,3242.0,2168.0,0,0,218.927255720498,0.566385429107698,0.643517539733294,-0.555521783038291,2.0,80.0,443184.0,0.127351724137931,0,0
3438,3438,57662.4,2468,1340,2,2466,5700.0,9570.0,4534.0,8712.0,8688.4,3314.0,17144.0,0,0,174.05025810799702,0.713986751949433,0.636705797825968,-0.262827925482115,12.0,90.0,1147332.0,0.0549488505747126,0,1
